path,category,tracked_status,size_bytes,sha256,required_for_fresh_clone,safe_to_commit,reason,owner_decision_required,duplicate_conflict_relationship
.claude/launch.json,D,tracked,203,387b6287c36903fe4d9eaf180928c70568aa437ed85ab67602c73f7c5c7428e0,yes,yes,"local dev-preview config | Owner decision 5 (2026-07-15): verified no secret, no personal absolute path, required for reproducible dev-server workflow, portable, no local IDE/session state. Track.",no,
.env.example,D,untracked,777,de1fcaba7983dffb526407ad7c48a21468f106ed50046a39e81c30798a7580f8,yes,yes,configuration template,no,
.gitignore,D,tracked,1456,8de1e74b94ee18a8267bbc19987beea9c49c1aaec0d43b63058e5784d52cab14,yes,yes,configuration template,no,
.gitleaks.toml,D,untracked,452,7c86469fd8db57bf69186a399c8faeb6fa336ebbe11e699557b0fa29e921997a,yes,yes,configuration template,no,
AGENTS.md,G,untracked,30359,92326dcd78f914d9a1211f78c1dd32d065b8695caf513c39901cf25c669ee576,no,yes,governance documentation,no,
AI_LOG.md,G,untracked,192339,dcf7584ab33ab881bf9e32229214c948d5cb7e2def4013ed915746716d65b69c,no,yes,governance documentation,no,
ANTIBIO_ROADMAP_P5_P10.md,S,untracked,50464,f53676cc9fd6d2464c8faa83da42792aa26c3a1d8020c09f24173456e4c6c2bd,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
API_KEY_ROTATION_VERIFICATION.md,G,untracked,6331,a5333b2d318ae91eb5af24f91f79de9f8e0489efe216ed080f12c92f83889992,no,yes,P5.6 owner-recovery-program deliverable: required security-incident-history/reproducibility/governance evidence for this recovery.,no,
ARCHITECTURAL_INVARIANTS.md,S,untracked,4800,baa3e3b368274bfda5c05e7988b13998f1dc6570adc607cc2d9d64d8a79e0fbf,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
ARCHITECTURE_STATUS.md,S,untracked,2550,5df2825e1dc965c5a7a803a5be42cc300ebe415d02abf2338d529001d6737f71,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
ARCHITECTURE_V2.md,S,untracked,8119,c84a8be0cefe2a8a4a327d5a946725432a59601dcee1bd5a9e7d7ac46c9328a3,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
ARCHITECTURE_V3.md,S,untracked,8659,323e62544debffb2daa54219f993312a35fc96000240b1fefa6f695d7c477492,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
CAP_ROOT_CAUSE_REPORT.md,S,untracked,228,5b63e5544c7d5c0b944fde7f112c56e9864ce500c93904b9525ababc5a8844e8,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
CLINICAL_DATA_ISSUE_REGISTRY.md,S,untracked,564,f652031b2d30f22fce33dfb27663115ae2bd3c7c17311118690876fab9d75916,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
CLINICAL_ENGINE_ADAPTER_RFC.md,S,untracked,9052,074a13c7babe8b3eed5f23799e4f46b191fd475b8ccbdfdddedb0c50396344b9,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
CLINICAL_KNOWLEDGE_LIFECYCLE.md,S,untracked,9378,37a94664685b0204d5b9dbbdd6cd00b15c23f5487c80bffeea9374847c1d6ade,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
CLINICAL_KNOWLEDGE_YIELD.md,S,untracked,2998,fd6839f00f65f317d855739c21293aef751c8ca73f716c411d91de0c8d427699,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
CLINICAL_REGIMEN_MODEL.md,S,untracked,9002,07af0b424cb32f867d80177e63689c7eed66229309c70fc87df1eb6c667f5773,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
CLINICAL_SAFETY_GATES.md,S,untracked,6875,8684a2b296c1eb931bbff4c013541294773153f135fe20c1634d0331160a0296,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
CLINICAL_VALIDATION_FRAMEWORK.md,S,untracked,39062,ab76ebccccf28947e07872e8f3c7d88dcda746d10f29bb2dce24b2881ed9cf87,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
CORPUS_CERTIFICATION.md,S,untracked,729,fb9aeeff6a66f2208cfca619d7ea5d5059e60c75a550be4aa48dea9194b4999c,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
CORPUS_MANIFEST.json,J,untracked,210436,d6ac8788b79c442f0edf0e7632e94896dea082bc2e160a3460ad527b5e026618,no,no,"generated report/artifact | Owner decision 4 (2026-07-15): generated raw inventory reproducible from external corpus contract; contains machine-specific absolute path. Exclude, not deleted from disk.",no,
DECISIONS.md,G,untracked,104256,aee178bb12620adaeeeddad739218ae1ec9030ee45f31a1b219c7de677b57ce0,no,yes,governance documentation,no,
DECISION_MATRIX.md,S,untracked,5335,060eeea5c59ffce0d316eed6476a7c1736f67431abd0398ccdfa24b3a8d3f023,no,yes,"report/RFC/analysis doc | Owner decision 4 (2026-07-15): reviewed, qualifies as required governance/architecture/root-cause/reproducibility/production-readiness evidence, track.",no,
