original_name,occurrences,affected_guidelines,affected_diagnoses,possible_normalization,possible_atc
#ампициллин+сульбактам**,29,14,26,ампициллин + сульбактам,J01CA01
фторхинолоны,27,13,17,фторхинолоны,J01MA
рифампицин**,19,4,11,рифампицин,J04AB02
рифаксимин,16,4,4,рифаксимин,J04AB04
#Миноциклин,16,1,4,Миноциклин,
#ко-тримоксазол** (JO1EE),15,4,8,ко-тримоксазол** (JO1EE),J01EE01
тинидазол,14,4,4,тинидазол,J01XD02
#ко-тримоксазол [сульфаметоксазол + триметоприм]**,13,4,4,ко-тримоксазол [сульфаметоксазол + триметоприм],J01EE01
карбапенемы,13,9,9,карбапенемы,J01DH
Амоксициллин + [Клавулановая кислота]**,13,3,3,Амоксициллин + [Клавулановая кислота],J01CA04
#дапсон**,12,3,6,дапсон,
Ко-тримоксазол [Сульфаметоксазол+Триметоприм]**,12,3,5,Ко-тримоксазол [Сульфаметоксазол + Триметоприм],J01EE01
дапсон**,11,1,6,дапсон,
пефлоксацин,10,4,3,пефлоксацин,
#рифампицин**,10,2,5,рифампицин,J04AB02
#тетрациклин,9,4,3,тетрациклин,J01AA07
орнидазол,9,3,3,орнидазол,
Амоксициллин+[Клавулановая кислота]**,9,7,7,Амоксициллин + [Клавулановая кислота],J01CA04
амоксициллина**,9,6,7,амоксициллина,J01CA04
#метронидазола**,9,4,7,метронидазола,J01XD01
Другие бета-лактамные антибактериальные препараты (цефалоспорины 2-го или 3-го поколения),9,4,6,Другие бета-лактамные антибактериальные препараты (цефалоспорины 2-го или 3-го поколения),J01D
фузидовая кислота,8,5,2,фузидовая кислота,
#Пиперациллин+[Тазобактам] +/- #амикацин**,8,4,5,Пиперациллин + [Тазобактам] + /- #амикацин,J01CG01
антибактериальные препараты системного действия,8,5,6,антибактериальные препараты системного действия,
#гентамицина**,8,7,8,гентамицина,J01GB03
секнидазол,8,1,2,секнидазол,
цефотаксима**,8,1,4,цефотаксима,J01DD01
#миноциклин,8,1,2,миноциклин,
Рифампицин**,8,1,4,Рифампицин,J04AB02
#Рифапентин,8,1,4,Рифапентин,
макролиды,7,6,4,макролиды,J01FA
